codigo,nome_pt_br,sigla,registro,bit_codigo,largura_codigo,arquivo,cpk_origem,fonte_autoritativa,tamanho_registro,offset_nome_pt_br,largura_nome_pt_br,codificacao_nome_pt_br,hash_country_bin,presente_dt200,presente_dt870_steam,presente_dt870_atualizacao,contrato_extracao,pode_rodar,falta_o_que
72,Malaui,MWI,70,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
73,Mali,MLI,71,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
74,Mauritânia,MTN,72,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
75,Maurício,MRI,73,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
76,Marrocos,MAR,74,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
77,Moçambique,MOZ,75,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
78,Namíbia,NAM,76,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
79,Níger,NIG,77,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
80,Nigéria,NGA,78,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
81,Ruanda,RWA,79,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
82,São Tomé e Príncipe,STP,80,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
83,Senegal,SEN,81,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
84,Seicheles,SEY,82,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
85,Serra Leoa,SLE,83,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
86,Somália,SOM,84,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
87,África do Sul,RSA,85,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
